task,stimulus,n_fixations,fixation_duration
FreeViewing,Puzzle,93,477.1182795698925
Fixation,Natural,4,11230.5
Fixation,Natural,17,2628.0
FreeViewing,Puzzle,94,467.8085106382979
FreeViewing,Natural,60,738.4333333333333
FreeViewing,Natural,46,965.3478260869565
FreeViewing,Waldo,78,574.0769230769231
FreeViewing,Waldo,55,780.7272727272727
FreeViewing,Natural,64,694.1875
Fixation,Puzzle,8,5621.5
Fixation,Natural,6,7491.666666666667
Fixation,Waldo,10,4490.0
Fixation,Waldo,6,7497.0
Fixation,Waldo,4,11248.5
FreeViewing,Puzzle,74,605.0
Fixation,Waldo,3,14965.333333333334
FreeViewing,Waldo,61,735.1803278688525
Fixation,Puzzle,5,8996.8
Fixation,Puzzle,2,22495.0
FreeViewing,Waldo,38,1176.6842105263158
FreeViewing,Puzzle,85,522.9882352941177
FreeViewing,Natural,76,577.578947368421
Fixation,Natural,1,44982.0
FreeViewing,Natural,95,466.0842105263158
Fixation,Puzzle,1,44994.0
FreeViewing,Puzzle,95,469.7894736842105
Fixation,Puzzle,13,3455.5384615384614
FreeViewing,Waldo,52,863.2692307692307
Fixation,Waldo,8,5623.25
Fixation,Natural,5,8996.4
FreeViewing,Natural,121,364.099173553719
Fixation,Puzzle,24,1865.75
FreeViewing,Natural,157,276.1006289308176
FreeViewing,Waldo,108,406.0
Fixation,Natural,37,1173.0
FreeViewing,Puzzle,129,340.9767441860465
FreeViewing,Waldo,100,421.0576923076923
FreeViewing,Puzzle,122,334.0650406504065
Fixation,Puzzle,27,1655.9259259259259
FreeViewing,Puzzle,143,305.6275862068965
Fixation,Waldo,11,4069.6363636363635
Fixation,Natural,9,4978.444444444444
Fixation,Waldo,15,2989.866666666667
FreeViewing,Waldo,125,338.0314960629921
Fixation,Puzzle,9,4957.333333333333
Fixation,Natural,16,2786.25
FreeViewing,Natural,137,323.6788321167883
FreeViewing,Puzzle,174,252.26285714285714
FreeViewing,Puzzle,177,237.65745856353593
Fixation,Waldo,7,6410.571428571428
Fixation,Puzzle,29,1509.448275862069
FreeViewing,Natural,151,291.50993377483445
FreeViewing,Waldo,123,348.56
FreeViewing,Natural,163,260.2168674698795
FreeViewing,Waldo,116,379.1111111111111
Fixation,Natural,4,11214.0
Fixation,Waldo,18,2452.8888888888887
Fixation,Waldo,5,8961.2
Fixation,Natural,13,3407.5384615384614
Fixation,Puzzle,19,2327.2631578947367
Fixation,Natural,15,2997.733333333333
Fixation,Natural,13,3458.6153846153848
Fixation,Puzzle,43,1044.5116279069769
Fixation,Puzzle,31,1445.2903225806451
FreeViewing,Waldo,132,304.2411347517731
FreeViewing,Natural,158,262.9325153374233
FreeViewing,Puzzle,135,317.40579710144925
Fixation,Waldo,21,2140.5714285714284
Fixation,Waldo,31,1449.2903225806451
FreeViewing,Puzzle,130,337.4769230769231
Fixation,Natural,19,2355.4736842105262
Fixation,Puzzle,29,1543.9310344827586
Fixation,Natural,20,2240.3
Fixation,Puzzle,41,1092.3902439024391
FreeViewing,Waldo,101,424.23762376237624
FreeViewing,Natural,118,372.1344537815126
FreeViewing,Natural,131,330.37593984962405
FreeViewing,Puzzle,138,315.9142857142857
FreeViewing,Natural,114,390.6666666666667
Fixation,Waldo,19,2362.1052631578946
Fixation,Natural,18,2497.1111111111113
FreeViewing,Waldo,97,453.51020408163265
FreeViewing,Puzzle,122,365.39344262295083
FreeViewing,Natural,121,367.3388429752066
FreeViewing,Waldo,108,405.48623853211006
Fixation,Waldo,9,4996.444444444444
Fixation,Waldo,17,2638.9411764705883
FreeViewing,Waldo,84,531.5714285714286
Fixation,Puzzle,7,6415.714285714285
FreeViewing,Puzzle,120,356.1951219512195
Fixation,Natural,36,1226.388888888889
Fixation,Puzzle,52,828.8076923076923
Fixation,Waldo,55,783.6727272727272
Fixation,Waldo,47,910.1276595744681
FreeViewing,Natural,173,237.68361581920905
FreeViewing,Waldo,141,306.77464788732397
Fixation,Natural,63,687.2380952380952
Fixation,Puzzle,87,489.81609195402297
Fixation,Waldo,60,709.2333333333333
FreeViewing,Waldo,123,361.2845528455285
FreeViewing,Natural,205,206.85853658536584
FreeViewing,Natural,184,224.73513513513512
FreeViewing,Puzzle,141,307.71830985915494
FreeViewing,Waldo,113,385.8070175438597
Fixation,Puzzle,105,398.1142857142857
Fixation,Waldo,89,468.8314606741573
FreeViewing,Natural,130,326.6666666666667
FreeViewing,Waldo,147,293.61073825503354
FreeViewing,Puzzle,104,421.16190476190474
Fixation,Puzzle,78,541.2820512820513
FreeViewing,Puzzle,141,313.8723404255319
FreeViewing,Waldo,153,284.5548387096774
Fixation,Natural,46,921.5217391304348
Fixation,Natural,57,742.9122807017544
Fixation,Natural,43,991.2093023255813
FreeViewing,Puzzle,111,388.86725663716817
Fixation,Puzzle,53,803.0188679245283
FreeViewing,Natural,184,229.84864864864866
Fixation,Waldo,42,1024.1904761904761
FreeViewing,Puzzle,165,266.33734939759034
FreeViewing,Puzzle,147,297.6216216216216
Fixation,Waldo,71,613.4084507042254
Fixation,Puzzle,75,573.68
FreeViewing,Puzzle,109,396.2181818181818
